total_time: 2633.4616

feature	model	feature_fit_transform_time	feature_transform_val_time	feature_transform_test_time	train_time	inference_val_time	inference_test_time	val_accuracy	val_f1_macro	val_f1_weighted	test_accuracy	test_f1_macro	test_f1_weighted
bow	logistic_regression	0.543527	0.076230	0.142841	78.358310	0.050658	0.061471	0.973094	0.970600	0.973214	0.964045	0.963062	0.963955
bow	random_forest	0.558278	0.072346	0.142766	5.684992	0.043769	0.064707	0.973094	0.972746	0.973085	0.959551	0.959172	0.959650
bow	xgboost	0.522178	0.071519	0.141655	138.899742	0.046581	0.051410	0.941704	0.942128	0.941780	0.952809	0.950920	0.952751
bow	svm	0.532941	0.073952	0.138322	121.442750	3.325940	6.538356	0.959641	0.958154	0.959749	0.957303	0.956384	0.957262
bow	naive_bayes	0.530408	0.070528	0.138792	0.255970	0.030896	0.063315	0.986547	0.986074	0.986601	0.970787	0.970242	0.970700
bow	knn	0.522906	0.070057	0.137764	0.059196	0.585996	0.565117	0.766816	0.763912	0.767948	0.777528	0.773598	0.779199
bow	mlp	0.524126	0.070259	0.138266	13.358270	0.040753	0.081326	0.973094	0.970382	0.972974	0.968539	0.967430	0.968536
tfidf	logistic_regression	1.774658	0.132648	0.252465	7.536291	0.035631	0.061430	0.977578	0.976489	0.977571	0.970787	0.969708	0.970796
tfidf	random_forest	1.726150	0.134154	0.254816	6.326003	0.037346	0.063515	0.946188	0.946764	0.946400	0.950562	0.950267	0.950591
tfidf	xgboost	1.695025	0.145608	0.277128	236.658834	0.029437	0.050996	0.941704	0.943102	0.942061	0.934831	0.934529	0.934758
tfidf	svm	1.762268	0.137780	0.257005	288.394545	4.729100	9.399700	0.991031	0.990461	0.991024	0.979775	0.979158	0.979820
tfidf	naive_bayes	1.691773	0.130167	0.249792	0.236391	0.034995	0.062360	0.977578	0.977076	0.977562	0.975281	0.974444	0.975339
tfidf	knn	1.682023	0.134812	0.256747	0.059352	0.362467	0.551140	0.950673	0.949059	0.950732	0.952809	0.951524	0.952899
tfidf	mlp	1.683334	0.131395	0.253852	18.231760	0.047365	0.078726	0.982063	0.981136	0.982034	0.970787	0.969571	0.970792
ngram	logistic_regression	3.424842	0.155470	0.293948	8.914593	0.031417	0.061726	0.964126	0.962660	0.963952	0.955056	0.953647	0.954953
ngram	random_forest	3.428395	0.156697	0.296236	8.484419	0.045244	0.073095	0.905830	0.903562	0.904672	0.867416	0.864562	0.866239
ngram	xgboost	3.397389	0.156124	0.295040	187.900157	0.031606	0.055762	0.914798	0.912738	0.914045	0.876404	0.873175	0.875681
ngram	svm	3.329918	0.148043	0.280254	318.780702	5.410535	10.704828	0.977578	0.975651	0.977575	0.968539	0.967319	0.968571
ngram	naive_bayes	3.348174	0.156630	0.292967	0.238769	0.029552	0.062544	0.973094	0.971987	0.972954	0.950562	0.948865	0.950526
ngram	knn	3.503495	0.163729	0.309876	0.061165	0.369912	0.560903	0.928251	0.925290	0.928001	0.928090	0.925052	0.927738
ngram	mlp	3.361056	0.154733	0.291853	16.027680	0.040521	0.075363	0.973094	0.971019	0.973071	0.955056	0.953522	0.955077
word2vec	logistic_regression	11.502797	0.172598	0.328715	0.235010	0.006273	0.005506	0.905830	0.903164	0.905661	0.907865	0.905594	0.907917
word2vec	random_forest	9.602987	0.176929	0.325494	2.766854	0.027285	0.032287	0.901345	0.898749	0.902316	0.876404	0.872881	0.876095
word2vec	xgboost	9.741850	0.173753	0.327597	6.327157	0.005958	0.010333	0.896861	0.894661	0.897642	0.883146	0.880123	0.883128
word2vec	svm	9.593885	0.173578	0.332148	0.209631	0.011241	0.016519	0.914798	0.912075	0.914659	0.910112	0.907174	0.910314
word2vec	naive_bayes	9.511798	0.174684	0.328449	0.002498	0.006269	0.005399	0.825112	0.807083	0.814710	0.786517	0.759858	0.768712
word2vec	knn	9.512791	0.176629	0.330982	0.000923	0.026416	0.042039	0.896861	0.893245	0.896536	0.887640	0.883339	0.887261
word2vec	mlp	9.666782	0.173155	0.327576	0.534924	0.000813	0.001319	0.892377	0.890282	0.893061	0.842697	0.838189	0.841646
doc2vec	logistic_regression	16.771999	1.085714	2.064797	0.138254	0.006708	0.005365	0.946188	0.944240	0.946572	0.950562	0.950194	0.950358
doc2vec	random_forest	17.014472	1.038154	1.975594	2.794575	0.028947	0.034691	0.937220	0.936076	0.937356	0.941573	0.940100	0.941658
doc2vec	xgboost	16.922206	1.051498	1.992076	5.502237	0.005596	0.009237	0.923767	0.922861	0.923941	0.943820	0.943810	0.944006
doc2vec	svm	17.204782	1.121281	2.138378	0.187003	0.009408	0.011571	0.932735	0.930650	0.932875	0.934831	0.932828	0.934574
doc2vec	naive_bayes	18.231115	1.122785	2.139646	0.002852	0.006278	0.005789	0.856502	0.843968	0.848215	0.833708	0.816134	0.822759
doc2vec	knn	18.101711	1.131950	2.148807	0.001559	0.030291	0.047519	0.932735	0.930135	0.932354	0.941573	0.940418	0.941403
doc2vec	mlp	17.703068	1.025973	1.950482	0.531257	0.000847	0.001313	0.928251	0.925250	0.928665	0.939326	0.937947	0.939190
raw_text	llama				400.249428		16.567679				0.188764	0.063516	0.059948
raw_text	mistral				413.139890		15.505821				0.188764	0.063516	0.059948
