feature_extraction_total: 44.8884
model_training_bow: 404.7759
model_training_tfidf: 645.4995
model_training_ngram: 621.7867
model_training_word2vec: 12.7191
model_training_doc2vec: 11.0398
model_training_total: 1695.9937
total_wall_time: 2581.9866

feature	model	train_time	inference_test_time	test_accuracy	test_f1_macro	test_f1_weighted
bow	logistic_regression	85.139706	0.072140	0.964045	0.963062	0.963955
bow	random_forest	7.404361	0.090157	0.959551	0.959172	0.959650
bow	xgboost	150.669758	0.070072	0.952809	0.950920	0.952751
bow	svm	138.363260	7.079660	0.957303	0.956384	0.957262
bow	naive_bayes	0.233266	0.049866	0.970787	0.970242	0.970700
bow	knn	0.034972	0.590191	0.777528	0.773598	0.779199
bow	mlp	14.602162	0.082841	0.968539	0.967430	0.968536
tfidf	logistic_regression	8.570030	0.074903	0.970787	0.969708	0.970796
tfidf	random_forest	10.099269	0.075760	0.950562	0.950267	0.950591
tfidf	xgboost	281.876928	0.076198	0.934831	0.934529	0.934758
tfidf	svm	311.102960	10.824911	0.979775	0.979158	0.979820
tfidf	naive_bayes	0.295676	0.051430	0.975281	0.974444	0.975339
tfidf	knn	0.037509	0.613646	0.952809	0.951524	0.952899
tfidf	mlp	21.584080	0.092549	0.970787	0.969571	0.970792
ngram	logistic_regression	10.350997	0.051022	0.955056	0.953647	0.954953
ngram	random_forest	16.595020	0.094151	0.867416	0.864562	0.866239
ngram	xgboost	217.126010	0.085134	0.876404	0.873175	0.875681
ngram	svm	345.011268	11.952320	0.968539	0.967319	0.968571
ngram	naive_bayes	0.298096	0.053155	0.950562	0.948865	0.950526
ngram	knn	0.038360	0.652815	0.928090	0.925052	0.927738
ngram	mlp	19.249672	0.092166	0.955056	0.953522	0.955077
word2vec	logistic_regression	0.302626	0.008358	0.910112	0.907795	0.910184
word2vec	random_forest	3.287482	0.039387	0.885393	0.882515	0.885190
word2vec	xgboost	7.946681	0.013489	0.905618	0.903704	0.906215
word2vec	svm	0.266616	0.020797	0.916854	0.913871	0.916743
word2vec	naive_bayes	0.003230	0.007807	0.786517	0.758045	0.767452
word2vec	knn	0.001113	0.052731	0.887640	0.884164	0.887220
word2vec	mlp	0.655683	0.001632	0.853933	0.850537	0.853570
doc2vec	logistic_regression	0.160873	0.007061	0.943820	0.943784	0.943817
doc2vec	random_forest	3.196892	0.039385	0.941573	0.941191	0.941819
doc2vec	xgboost	6.636643	0.010510	0.923596	0.922800	0.923969
doc2vec	svm	0.184229	0.013777	0.937079	0.935855	0.936888
doc2vec	naive_bayes	0.002669	0.006576	0.824719	0.805419	0.812376
doc2vec	knn	0.000916	0.054632	0.941573	0.939368	0.941612
doc2vec	mlp	0.619734	0.001534	0.937079	0.936006	0.937017
raw_text	llama	402.810374	17.791305	0.188764	0.063516	0.059948
raw_text	mistral	402.905000	17.567868	0.188764	0.063516	0.059948
