feature_extraction_total: 42.9438
model_training_bow: 377.8172
model_training_tfidf: 590.3505
model_training_ngram: 559.6460
model_training_word2vec: 15.1548
model_training_doc2vec: 10.0536
model_training_total: 1553.2442
total_wall_time: 2421.1899

feature	model	train_time	inference_test_time	test_accuracy	test_f1_macro	test_f1_weighted
bow	logistic_regression	255.804502	0.241660	0.964045	0.963062	0.963955
bow	random_forest	19.200251	0.295965	0.959551	0.959172	0.959650
bow	xgboost	373.150564	0.064191	0.952809	0.950920	0.952751
bow	svm	332.247059	12.748603	0.957303	0.956384	0.957262
bow	naive_bayes	1.486495	0.410724	0.970787	0.970242	0.970700
bow	knn	0.545989	3.309109	0.777528	0.773598	0.779199
bow	mlp	56.619205	0.364636	0.968539	0.967430	0.968536
tfidf	logistic_regression	24.705692	0.390330	0.970787	0.969708	0.970796
tfidf	random_forest	21.213731	0.265359	0.950562	0.950267	0.950591
tfidf	xgboost	543.705308	0.153157	0.934831	0.934529	0.934758
tfidf	svm	558.664884	9.219419	0.979775	0.979158	0.979820
tfidf	naive_bayes	1.490350	0.402656	0.975281	0.974444	0.975339
tfidf	knn	0.516742	2.718661	0.952809	0.951524	0.952899
tfidf	mlp	55.278823	0.281846	0.970787	0.969571	0.970792
ngram	logistic_regression	26.766855	0.153731	0.955056	0.953647	0.954953
ngram	random_forest	33.141049	0.437649	0.867416	0.864562	0.866239
ngram	xgboost	419.951667	0.160385	0.876404	0.873175	0.875681
ngram	svm	518.721693	10.438741	0.968539	0.967319	0.968571
ngram	naive_bayes	1.441255	0.387225	0.950562	0.948865	0.950526
ngram	knn	0.515032	3.105252	0.928090	0.925052	0.927738
ngram	mlp	50.145325	0.245456	0.955056	0.953522	0.955077
word2vec	logistic_regression	1.770081	0.038756	0.901124	0.899084	0.901077
word2vec	random_forest	9.887729	0.075299	0.896629	0.893799	0.896539
word2vec	xgboost	8.745588	0.011690	0.905618	0.902773	0.905664
word2vec	svm	1.064978	0.065637	0.905618	0.903237	0.905639
word2vec	naive_bayes	0.028051	0.040317	0.784270	0.762810	0.771093
word2vec	knn	0.001270	0.258283	0.876404	0.872663	0.876032
word2vec	mlp	2.023297	0.021448	0.853933	0.850432	0.853976
doc2vec	logistic_regression	0.501510	0.026768	0.948315	0.948021	0.948269
doc2vec	random_forest	6.646540	0.080201	0.930337	0.929934	0.930323
doc2vec	xgboost	8.857683	0.009240	0.921348	0.920367	0.921353
doc2vec	svm	0.747610	0.057209	0.955056	0.955018	0.955019
doc2vec	naive_bayes	0.019608	0.020749	0.833708	0.811815	0.819262
doc2vec	knn	0.000905	0.249236	0.952809	0.952169	0.952745
doc2vec	mlp	2.329023	0.001369	0.943820	0.943018	0.943849
raw_text	llama	395.818743	17.969752	0.188764	0.063516	0.059948
raw_text	mistral	394.507489	16.676255	0.188764	0.063516	0.059948
