total_time: 2589.6376

feature	model	feature_fit_transform_time	feature_transform_val_time	feature_transform_test_time	train_time	inference_val_time	inference_test_time	val_accuracy	val_f1_macro	val_f1_weighted	test_accuracy	test_f1_macro	test_f1_weighted
bow	logistic_regression	0.782285	0.091268	0.170432	75.782057	0.054054	0.060683	0.973094	0.970600	0.973214	0.964045	0.963062	0.963955
bow	random_forest	0.556247	0.074641	0.141174	5.642008	0.043728	0.064579	0.973094	0.972746	0.973085	0.959551	0.959172	0.959650
bow	xgboost	0.517922	0.072279	0.142898	138.037944	0.043876	0.051423	0.941704	0.942128	0.941780	0.952809	0.950920	0.952751
bow	svm	0.581080	0.073529	0.151371	118.686697	3.220093	6.286778	0.959641	0.958154	0.959749	0.957303	0.956384	0.957262
bow	naive_bayes	0.529043	0.066424	0.142352	0.206422	0.023938	0.042808	0.986547	0.986074	0.986601	0.970787	0.970242	0.970700
bow	knn	0.458054	0.065760	0.124738	0.029625	0.415209	0.527693	0.766816	0.763912	0.767948	0.777528	0.773598	0.779199
bow	mlp	0.452885	0.065434	0.124383	12.408947	0.040584	0.072218	0.973094	0.970382	0.972974	0.968539	0.967430	0.968536
tfidf	logistic_regression	1.768006	0.121451	0.226671	7.415090	0.023702	0.039145	0.977578	0.976489	0.977571	0.970787	0.969708	0.970796
tfidf	random_forest	1.594638	0.123332	0.230505	8.310908	0.041693	0.070831	0.946188	0.946764	0.946400	0.950562	0.950267	0.950591
tfidf	xgboost	1.561745	0.122670	0.229314	230.813990	0.025787	0.049015	0.941704	0.943102	0.942061	0.934831	0.934529	0.934758
tfidf	svm	1.638661	0.136641	0.252110	277.801816	4.552598	9.068779	0.991031	0.990461	0.991024	0.979775	0.979158	0.979820
tfidf	naive_bayes	1.616880	0.129675	0.242098	0.202658	0.024946	0.042020	0.977578	0.977076	0.977562	0.975281	0.974444	0.975339
tfidf	knn	1.612305	0.129641	0.242043	0.029870	0.348401	0.538681	0.950673	0.949059	0.950732	0.952809	0.951524	0.952899
tfidf	mlp	1.683224	0.137841	0.252900	16.851035	0.040039	0.071982	0.982063	0.981136	0.982034	0.970787	0.969571	0.970792
ngram	logistic_regression	3.270399	0.151371	0.301952	8.659276	0.023920	0.039460	0.964126	0.962660	0.963952	0.955056	0.953647	0.954953
ngram	random_forest	3.329092	0.151549	0.286511	8.440301	0.040637	0.061845	0.905830	0.903562	0.904672	0.867416	0.864562	0.866239
ngram	xgboost	3.288150	0.152537	0.280881	185.697157	0.031056	0.059821	0.914798	0.912738	0.914045	0.876404	0.873175	0.875681
ngram	svm	3.312340	0.150899	0.284254	308.681023	5.219276	10.489117	0.977578	0.975651	0.977575	0.968539	0.967319	0.968571
ngram	naive_bayes	3.343732	0.152070	0.280468	0.167575	0.023749	0.042511	0.973094	0.971987	0.972954	0.950562	0.948865	0.950526
ngram	knn	3.272602	0.151330	0.279358	0.030222	0.320134	0.507015	0.928251	0.925290	0.928001	0.928090	0.925052	0.927738
ngram	mlp	3.282004	0.151559	0.278117	15.288786	0.040664	0.072028	0.973094	0.971019	0.973071	0.955056	0.953522	0.955077
word2vec	logistic_regression	11.426567	0.185045	0.349952	0.289212	0.007095	0.005788	0.905830	0.903164	0.905661	0.903371	0.900954	0.903455
word2vec	random_forest	9.810205	0.173893	0.327199	2.764398	0.027884	0.032898	0.901345	0.898533	0.901641	0.889888	0.887029	0.889837
word2vec	xgboost	9.602014	0.173359	0.327712	6.414101	0.006069	0.010566	0.914798	0.910824	0.914157	0.896629	0.893927	0.896866
word2vec	svm	9.528547	0.173407	0.333954	0.228450	0.011839	0.016941	0.910314	0.907834	0.910398	0.916854	0.914299	0.916961
word2vec	naive_bayes	9.518238	0.177989	0.330154	0.002757	0.006216	0.005754	0.825112	0.808041	0.815099	0.791011	0.763383	0.772685
word2vec	knn	9.635702	0.173122	0.324188	0.000956	0.025728	0.041349	0.892377	0.888778	0.892256	0.885393	0.881089	0.885111
word2vec	mlp	9.575065	0.171886	0.323881	0.704468	0.000816	0.001337	0.869955	0.867895	0.872537	0.865169	0.863447	0.866291
doc2vec	logistic_regression	16.957343	1.049286	2.001374	0.144750	0.006336	0.005458	0.941704	0.940998	0.941928	0.934831	0.934494	0.934681
doc2vec	random_forest	17.054961	1.036322	2.009997	2.741995	0.028825	0.036463	0.932735	0.931105	0.932892	0.941573	0.940273	0.941409
doc2vec	xgboost	17.050012	1.052992	1.999855	5.559736	0.004927	0.008458	0.928251	0.928458	0.928856	0.934831	0.933110	0.934932
doc2vec	svm	17.124504	1.030991	1.959643	0.159300	0.008523	0.011470	0.928251	0.926996	0.929663	0.955056	0.954523	0.955031
doc2vec	naive_bayes	16.910686	1.148327	2.162984	0.003458	0.006891	0.005965	0.856502	0.844762	0.848749	0.840449	0.824150	0.830549
doc2vec	knn	16.817624	1.040937	1.982090	0.001023	0.026928	0.043619	0.937220	0.935677	0.937132	0.950562	0.948757	0.950580
doc2vec	mlp	16.913197	1.038539	1.979562	0.693862	0.000842	0.001325	0.937220	0.934798	0.937330	0.939326	0.937844	0.939419
raw_text	llama				408.784809		16.723160				0.188764	0.063516	0.059948
raw_text	mistral				402.291951		16.641468				0.188764	0.063516	0.059948
