feature_extraction_total: 48.6868
model_training_bow: 412.6683
model_training_tfidf: 649.9681
model_training_ngram: 624.7095
model_training_word2vec: 14.8726
model_training_doc2vec: 10.8963
model_training_total: 1713.3384
total_wall_time: 2598.1167

feature	model	train_time	inference_test_time	test_accuracy	test_f1_macro	test_f1_weighted
bow	logistic_regression	274.024350	0.252751	0.964045	0.963062	0.963955
bow	random_forest	23.084376	0.325204	0.959551	0.959172	0.959650
bow	xgboost	408.263944	0.077078	0.952809	0.950920	0.952751
bow	svm	367.676111	14.438860	0.957303	0.956384	0.957262
bow	naive_bayes	1.252394	0.334716	0.970787	0.970242	0.970700
bow	knn	0.450934	2.605357	0.777528	0.773598	0.779199
bow	mlp	58.580969	0.408971	0.968539	0.967430	0.968536
tfidf	logistic_regression	25.669047	0.340911	0.970787	0.969708	0.970796
tfidf	random_forest	24.384716	0.299657	0.950562	0.950267	0.950591
tfidf	xgboost	597.218769	0.174420	0.934831	0.934529	0.934758
tfidf	svm	611.538433	10.316410	0.979775	0.979158	0.979820
tfidf	naive_bayes	1.259159	0.358713	0.975281	0.974444	0.975339
tfidf	knn	0.471316	2.611749	0.952809	0.951524	0.952899
tfidf	mlp	63.708759	0.290421	0.970787	0.969571	0.970792
ngram	logistic_regression	29.215270	0.223635	0.955056	0.953647	0.954953
ngram	random_forest	37.904562	0.470266	0.867416	0.864562	0.866239
ngram	xgboost	469.573939	0.196538	0.876404	0.873175	0.875681
ngram	svm	580.230673	11.645331	0.968539	0.967319	0.968571
ngram	naive_bayes	0.962997	0.252672	0.950562	0.948865	0.950526
ngram	knn	0.308562	2.439902	0.928090	0.925052	0.927738
ngram	mlp	54.417467	0.297674	0.955056	0.953522	0.955077
word2vec	logistic_regression	1.212164	0.028823	0.912360	0.909571	0.912436
word2vec	random_forest	8.666516	0.082053	0.894382	0.892389	0.894866
word2vec	xgboost	9.647632	0.012880	0.901124	0.897957	0.901725
word2vec	svm	1.000464	0.059741	0.912360	0.909729	0.912417
word2vec	naive_bayes	0.011898	0.034312	0.791011	0.765119	0.774060
word2vec	knn	0.001050	0.205407	0.880899	0.877194	0.880734
word2vec	mlp	2.619407	0.001514	0.847191	0.843547	0.847252
doc2vec	logistic_regression	0.539449	0.021577	0.941573	0.941256	0.941449
doc2vec	random_forest	7.414928	0.085848	0.950562	0.950417	0.950587
doc2vec	xgboost	9.515210	0.009460	0.930337	0.927925	0.930330
doc2vec	svm	0.748411	0.062756	0.934831	0.933535	0.934449
doc2vec	naive_bayes	0.002701	0.030656	0.835955	0.817320	0.824268
doc2vec	knn	0.000983	0.212525	0.946067	0.944128	0.946031
doc2vec	mlp	1.957152	0.001497	0.946067	0.945764	0.945889
raw_text	llama	400.113529	17.925963	0.188764	0.063516	0.059948
raw_text	mistral	400.656034	17.364994	0.188764	0.063516	0.059948
