total_time: 1284.2390

feature	model	feature_fit_transform_time	train_time	inference_test_time	test_accuracy	test_f1_macro	test_f1_weighted
bow	logistic_regression	0.049796	11.898109	0.003451	0.966292	0.965180	0.966213
bow	random_forest	0.049796	6.620494	0.076673	0.952809	0.952439	0.952854
bow	xgboost	0.049796	157.619662	0.024856	0.242697	0.102211	0.110762
bow	svm	0.049796	4.406804	0.005332	0.970787	0.969982	0.970732
bow	naive_bayes	0.049796	0.258446	0.087096	0.973034	0.972419	0.972950
bow	knn	0.049796	0.089889	0.457698	0.788764	0.788078	0.791715
bow	mlp	0.049796	16.075445	0.080120	0.970787	0.970036	0.970862
tfidf	logistic_regression	0.109113	1.030029	0.001296	0.977528	0.977221	0.977568
tfidf	random_forest	0.109113	6.994015	0.073034	0.946067	0.945176	0.945963
tfidf	xgboost	0.109113	346.457450	0.018540	0.231461	0.097630	0.106131
tfidf	svm	0.109113	0.366851	0.005788	0.979775	0.979596	0.979720
tfidf	naive_bayes	0.109113	0.208493	0.048930	0.973034	0.972025	0.972998
tfidf	knn	0.109113	0.050128	0.410445	0.959551	0.958535	0.959419
tfidf	mlp	0.109113	16.881346	0.063160	0.975281	0.974100	0.975332
ngram	logistic_regression	0.053817	0.160596	0.000941	0.952809	0.951693	0.952565
ngram	random_forest	0.053817	11.339442	0.073150	0.880899	0.878170	0.880315
ngram	xgboost	0.053817	296.817283	0.017827	0.173034	0.059004	0.051048
ngram	svm	0.053817	0.248913	0.004258	0.970787	0.970520	0.970870
ngram	naive_bayes	0.053817	0.273275	0.048684	0.964045	0.963162	0.964073
ngram	knn	0.053817	0.048977	0.374203	0.941573	0.940368	0.941359
ngram	mlp	0.053817	15.924800	0.062542	0.959551	0.957146	0.959656
word2vec	logistic_regression	0.043369	1.146918	0.000338	0.910112	0.907552	0.910218
word2vec	random_forest	0.043369	2.862422	0.020751	0.887640	0.884433	0.887805
word2vec	xgboost	0.043369	5.753314	0.007568	0.892135	0.890421	0.892347
word2vec	svm	0.043369	0.186058	0.003289	0.901124	0.897831	0.901153
word2vec	naive_bayes	0.043369	0.001962	0.000326	0.782022	0.755442	0.764482
word2vec	knn	0.043369	0.000746	0.028239	0.880899	0.877009	0.880668
word2vec	mlp	0.043369	0.571844	0.001008	0.851685	0.847588	0.852020
doc2vec	logistic_regression	0.031885	4.185011	0.000338	0.950562	0.950448	0.950414
doc2vec	random_forest	0.031885	2.830368	0.019863	0.939326	0.938401	0.939442
doc2vec	xgboost	0.031885	5.440524	0.007789	0.925843	0.924828	0.925644
doc2vec	svm	0.031885	0.195045	0.003217	0.937079	0.935928	0.937073
doc2vec	naive_bayes	0.031885	0.001936	0.000315	0.833708	0.817882	0.824066
doc2vec	knn	0.031885	0.000690	0.029367	0.946067	0.944489	0.946069
doc2vec	mlp	0.031885	0.440229	0.000995	0.943820	0.942973	0.943652
raw_text	llama		171.474376	50.814333	0.880899	0.880383	0.880304
raw_text	mistral		27.699474	112.871331	0.820225	0.818815	0.822963
