total_time: 2173.0404

feature	model	feature_fit_transform_time	feature_transform_val_time	feature_transform_test_time	train_time	inference_val_time	inference_test_time	val_accuracy	val_f1_macro	val_f1_weighted	test_accuracy	test_f1_macro	test_f1_weighted
bow	logistic_regression	0.663524	0.087377	0.162064	16.420817	0.019752	0.037682	0.973094	0.970600	0.973214	0.959551	0.958550	0.959456
bow	random_forest	0.606483	0.084697	0.164312	6.195231	0.028878	0.042073	0.950673	0.950281	0.950726	0.957303	0.955811	0.957253
bow	xgboost	0.560192	0.076770	0.151794	83.084388	0.031073	0.055681	0.941704	0.942128	0.941780	0.952809	0.950920	0.952751
bow	svm	0.591530	0.075229	0.151622	86.284683	2.383262	4.779032	0.959641	0.958154	0.959749	0.957303	0.956384	0.957262
bow	naive_bayes	0.592762	0.075076	0.149428	0.177259	0.020883	0.042290	0.986547	0.986074	0.986601	0.973034	0.972419	0.972950
bow	knn	0.590038	0.074985	0.150507	0.014592	0.275984	0.404981	0.766816	0.763912	0.767948	0.782022	0.779335	0.784447
bow	mlp	0.594875	0.075459	0.151180	13.470131	0.025307	0.044485	0.982063	0.980573	0.981999	0.970787	0.969209	0.970918
tfidf	logistic_regression	1.810806	0.140367	0.273893	2.534413	0.017929	0.036333	0.977578	0.976489	0.977571	0.970787	0.969708	0.970796
tfidf	random_forest	1.774499	0.139987	0.274234	6.797164	0.025543	0.040753	0.950673	0.950746	0.950724	0.948315	0.947223	0.948193
tfidf	xgboost	1.814655	0.141377	0.276597	275.124202	0.029808	0.055565	0.941704	0.943102	0.942061	0.934831	0.933832	0.934714
tfidf	svm	1.815123	0.140347	0.274080	197.750102	3.450779	6.888419	0.986547	0.985513	0.986481	0.982022	0.981354	0.982045
tfidf	naive_bayes	1.848331	0.141202	0.273854	0.175300	0.021383	0.043532	0.977578	0.976489	0.977571	0.975281	0.974444	0.975339
tfidf	knn	1.806035	0.140266	0.273968	0.014843	0.271922	0.409421	0.950673	0.948951	0.950590	0.952809	0.951436	0.953009
tfidf	mlp	1.808689	0.140411	0.274446	18.598842	0.025339	0.044910	0.982063	0.981136	0.982034	0.977528	0.976427	0.977470
ngram	logistic_regression	3.620011	0.166509	0.316641	3.095652	0.019289	0.037230	0.959641	0.958200	0.959508	0.957303	0.956000	0.957247
ngram	random_forest	3.619909	0.168088	0.317143	9.563671	0.030795	0.050628	0.887892	0.885546	0.886468	0.865169	0.861538	0.863873
ngram	xgboost	3.602713	0.167445	0.316588	214.824689	0.030877	0.059042	0.905830	0.903393	0.905179	0.871910	0.868454	0.871062
ngram	svm	3.674347	0.163481	0.305563	222.450412	3.948532	7.883440	0.977578	0.975651	0.977575	0.966292	0.965339	0.966302
ngram	naive_bayes	3.624484	0.163778	0.308595	0.166734	0.020441	0.041487	0.973094	0.971987	0.972954	0.950562	0.948865	0.950526
ngram	knn	3.844570	0.169426	0.328680	0.013913	0.259089	0.384593	0.923767	0.920710	0.923482	0.921348	0.918119	0.920999
ngram	mlp	3.664622	0.166127	0.310391	20.184293	0.024890	0.044491	0.982063	0.980585	0.982060	0.957303	0.956512	0.957311
word2vec	logistic_regression	12.286340	0.171846	0.323729	0.097883	0.000353	0.000316	0.914798	0.911515	0.914361	0.910112	0.907771	0.910062
word2vec	random_forest	11.226230	0.174328	0.325073	2.857026	0.016040	0.020183	0.901345	0.898332	0.901856	0.894382	0.891738	0.894404
word2vec	xgboost	11.179080	0.174569	0.325946	6.891246	0.006826	0.011787	0.914798	0.911221	0.914985	0.912360	0.909018	0.912467
word2vec	svm	11.292087	0.184068	0.346091	0.159135	0.004904	0.009247	0.914798	0.911758	0.914469	0.914607	0.911883	0.914739
word2vec	naive_bayes	12.562284	0.186148	0.348312	0.003729	0.000333	0.000375	0.807175	0.777047	0.786423	0.766292	0.728802	0.740109
word2vec	knn	12.548223	0.187113	0.352173	0.001178	0.017898	0.030931	0.914798	0.911438	0.914858	0.876404	0.872846	0.875983
word2vec	mlp	11.615790	0.179785	0.338348	0.726870	0.000734	0.001034	0.887892	0.885440	0.888396	0.865169	0.862169	0.865956
doc2vec	logistic_regression	20.107281	1.225339	2.324273	0.058373	0.000363	0.000341	0.941704	0.940117	0.941716	0.939326	0.939547	0.939304
doc2vec	random_forest	20.132806	1.222775	2.318589	2.905132	0.016203	0.020092	0.937220	0.936507	0.937603	0.939326	0.938745	0.939394
doc2vec	xgboost	20.012685	1.230163	2.334892	6.135418	0.005674	0.009406	0.941704	0.940461	0.941872	0.937079	0.936185	0.937078
doc2vec	svm	20.130433	1.222164	2.369476	0.140921	0.002907	0.005120	0.928251	0.925610	0.928632	0.934831	0.934122	0.934793
doc2vec	naive_bayes	21.037497	1.339282	2.542431	0.002805	0.000306	0.000364	0.843049	0.828166	0.833141	0.842697	0.823430	0.830333
doc2vec	knn	21.090009	1.238837	2.332063	0.001985	0.018352	0.030475	0.941704	0.939985	0.941559	0.937079	0.935253	0.936863
doc2vec	mlp	19.848452	1.218282	2.311729	0.329509	0.000713	0.001015	0.905830	0.902280	0.905136	0.934831	0.934801	0.934743
raw_text	llama				198.670650		55.967135				0.880899	0.880383	0.880304
raw_text	mistral				243.990619		137.185348				0.820225	0.818815	0.822963
