feature_extraction_total: 43.5668
model_training_bow: 215.6012
model_training_tfidf: 517.6069
model_training_ngram: 484.8963
model_training_word2vec: 11.0934
model_training_doc2vec: 9.4688
model_training_total: 1239.0797
total_wall_time: 1551.9954

feature	model	train_time	inference_test_time	test_accuracy	test_f1_macro	test_f1_weighted
bow	logistic_regression	16.531492	0.040828	0.959551	0.958550	0.959456
bow	random_forest	6.275079	0.042553	0.957303	0.955811	0.957253
bow	xgboost	86.430219	0.058197	0.952809	0.950920	0.952751
bow	svm	88.203668	5.109955	0.957303	0.956384	0.957262
bow	naive_bayes	0.134571	0.029055	0.973034	0.972419	0.972950
bow	knn	0.014056	0.356112	0.782022	0.779335	0.784447
bow	mlp	11.865331	0.044650	0.970787	0.969209	0.970918
tfidf	logistic_regression	2.590731	0.026186	0.970787	0.969708	0.970796
tfidf	random_forest	7.650554	0.045801	0.948315	0.947223	0.948193
tfidf	xgboost	277.559766	0.093048	0.934831	0.933832	0.934714
tfidf	svm	205.552031	7.098631	0.982022	0.981354	0.982045
tfidf	naive_bayes	0.164826	0.029888	0.975281	0.974444	0.975339
tfidf	knn	0.014532	0.367115	0.952809	0.951436	0.953009
tfidf	mlp	16.280793	0.045854	0.977528	0.976427	0.977470
ngram	logistic_regression	3.233387	0.026934	0.957303	0.956000	0.957247
ngram	random_forest	11.020769	0.075144	0.865169	0.861538	0.863873
ngram	xgboost	216.378259	0.116771	0.871910	0.868454	0.871062
ngram	svm	228.193860	8.093218	0.966292	0.965339	0.966302
ngram	naive_bayes	0.175201	0.029059	0.950562	0.948865	0.950526
ngram	knn	0.013919	0.352228	0.921348	0.918119	0.920999
ngram	mlp	17.055717	0.045061	0.957303	0.956512	0.957311
word2vec	logistic_regression	0.102320	0.000329	0.910112	0.907436	0.910114
word2vec	random_forest	2.905331	0.020414	0.892135	0.889020	0.892033
word2vec	xgboost	7.063855	0.012172	0.907865	0.904429	0.908060
word2vec	svm	0.151464	0.008660	0.916854	0.913688	0.916885
word2vec	naive_bayes	0.002235	0.000326	0.770787	0.733025	0.744266
word2vec	knn	0.000726	0.028108	0.880899	0.876737	0.880153
word2vec	mlp	0.717547	0.000998	0.874157	0.869437	0.873734
doc2vec	logistic_regression	0.057593	0.000293	0.939326	0.938712	0.939158
doc2vec	random_forest	2.877686	0.019862	0.941573	0.940324	0.941618
doc2vec	xgboost	5.948061	0.010126	0.934831	0.933778	0.934634
doc2vec	svm	0.139246	0.004920	0.934831	0.933093	0.934415
doc2vec	naive_bayes	0.002025	0.000309	0.831461	0.809090	0.816643
doc2vec	knn	0.000703	0.027549	0.946067	0.944739	0.946184
doc2vec	mlp	0.301373	0.000978	0.934831	0.933348	0.934830
raw_text	llama	76.221536	49.900965	0.880899	0.880383	0.880304
raw_text	mistral	28.821125	114.381161	0.820225	0.818815	0.822963
